Year: 2001, State: NE
C001712515P : 2
C005503603P : 2
C005504107P : 2
C007700205P : 2
C007704330P : 2
S002 45670 : 2
S002 47043 : 2
S002 50361 : 2
S006 31502 : 2
S006 32014 : 2
S006 35500 : 2
S006 35981 : 2
S006 36093 : 2
S006 36142 : 2
S006 36192 : 2
S006 36240 : 2
S006 36293 : 2
S006 36392 : 2
S006 36484L : 2
S006 36484R : 2
S006 36561 : 2
S006 37025 : 2
S015 00903 : 2
S015 10833 : 4
S021 01383 : 2
S026 06222 : 2
S026 15009L : 2
S026 15009R : 2
S030 17764 : 2
S030 31293 : 2
S030 31379 : 2
S030 31389 : 3
S030 37787 : 2
S030 42580L : 2
S030 42580R : 2
S030 42628 : 2
S030 44939 : 2
S031 02440 : 2
S033 02537 : 2
S034 31845L : 2
S034 31845R : 2
S038 00685 : 2
S044 05113 : 2
S047 06277 : 2
S047 06288 : 3
S050 05323 : 2
S050 08662 : 2
S051 03644 : 2
S064 05635 : 2
S064 07824 : 2
S068 00044 : 2
S075 04868L : 2
S075 04896 : 2
S075 07484 : 2
S075 07698L : 2
S075 07698R : 2
S075 07916 : 2
S075 07939 : 2
S075 08037L : 2
S075 08037R : 2
S075 08192L : 2
S075 08192R : 2
S075 08323 : 2
S075 08444 : 2
S075 08495L : 2
S075 08495R : 2
S075 08580L : 2
S075 08580R : 2
S075 08663 : 2
S075 08682 : 2
S075 08730 : 2
S075 08766 : 2
S075 09074 : 2
S075 09076 : 3
S075 09084 : 2
S075 09102 : 2
S075 09102A : 2
S075 09102B : 2
S075 09106 : 3
S075 09109 : 2
S075 09137 : 2
S075 09169 : 2
S075 09202 : 2
S075 09233 : 2
S075 09255 : 2
S075 09302 : 2
S075 09327 : 2
S075 09341 : 2
S075 09354A : 2
S075 18205L : 2
S075 18205R : 2
S076 00176 : 2
S077 06064L : 2
S077 06064R : 2
S077 06134 : 3
S077 06274L : 2
S077 06274R : 2
S077 12541 : 2
S080 00048 : 2
S080 00648L : 2
S080 00648R : 2
S080 00846 : 2
S080 01346 : 2
S080 01762 : 2
S080 02071L : 2
S080 02071R : 2
S080 02269L : 2
S080 02269R : 2
S080 02474 : 2
S080 02775 : 2
S080 02976 : 2
S080 03171 : 2
S080 03471 : 2
S080 03683 : 2
S080 03896L : 2
S080 03896R : 2
S080 04193 : 2
S080 04396 : 2
S080 04882 : 2
S080 05035L : 2
S080 05035R : 2
S080 05420L : 2
S080 05420R : 2
S080 05537 : 2
S080 05864L : 2
S080 05864R : 2
S080 05992L : 2
S080 05992R : 2
S080 06462 : 2
S080 06763 : 2
S080 06963 : 2
S080 07164 : 2
S080 07365 : 2
S080 07661L : 2
S080 07661R : 2
S080 08067 : 2
S080 08295L : 2
S080 08295R : 2
S080 08522 : 2
S080 08880L : 2
S080 08880R : 2
S080 09068 : 2
S080 09502 : 2
S080 09700L : 2
S080 09700R : 2
S080 10119L : 2
S080 10119R : 2
S080 10259L : 2
S080 10259R : 2
S080 10427 : 2
S080 10736 : 2
S080 10932 : 2
S080 11185 : 2
S080 11445 : 2
S080 11725 : 2
S080 12163 : 2
S080 12669 : 2
S080 12996 : 2
S080 13397 : 2
S080 13702 : 2
S080 14114 : 2
S080 14567 : 2
S080 14918 : 2
S080 15551 : 2
S080 15803L : 2
S080 15803R : 2
