DO NOT REMOVE THIS LINE
id,Case Name,Case ID,Description,Keywords,Source,Start Date,End Date,Latitude,Longitude,Technical Lead,"Compiled By
"
,,,,,,mm/dd/yyyy,mm/dd/yyyy,,,,"
"
"DATASTART,","""Only add/remove/update data after this row. Do not change the id column for existing entries, leave the id column blank for new entries""
"
,FDR 259 at MIDDLE LOUP RIVER at 1.3 MI. E. OF THEDFORD,020701000003001,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Wood or Timber, Stringer/Multi-beam or Girder""",Bureau of Reclamation,01/01/1965,03/31/2020,41.97725833333334,-100.51086944444444,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
,W BLUE HILL RD at STREAM at 1/2 E OF OSAGE AVE,C000114612,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Steel, Culvert (includes frame culverts)""",Bureau of Reclamation,01/01/2017,03/31/2020,40.37951388888889,-98.46745555555556,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
,RD 523 at BLACKSNAKE CREEK at 2.5N & 2E OF ELGIN,C000200210,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Concrete, Culvert (includes frame culverts)""",Bureau of Reclamation,01/01/2017,03/31/2020,42.024477777777776,-98.04682222222222,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
,LOCAL RD at SOUTH CEDAR CREEK at 25/26T 11N R11E,C001313515,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Concrete, Culvert (includes frame culverts)""",Bureau of Reclamation,01/01/2017,03/31/2020,40.894999999999996,-96.14,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
,CO RD L at STREAM at 3.25S & 0.5E HARVARD,C001802115,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Concrete, Culvert (includes frame culverts)""",Bureau of Reclamation,01/01/2017,03/31/2020,40.572,-98.08999999999999,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
,CO RD M at STREAM at 4N & 1W CLAY CENTER,C001802315,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Concrete, Culvert (includes frame culverts)""",Bureau of Reclamation,01/01/2017,03/31/2020,40.580219444444445,-98.07060555555555,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
,CO RD 309 at STREAM at 4S & 1.75W CLAY CENTER,C001813410,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Concrete, Culvert (includes frame culverts)""",Bureau of Reclamation,01/01/2017,03/31/2020,40.466,-98.082,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
,CO RD 304 at STREAM at 0.5S & 4W ONG,C001824423,"""The National Bridge Inventory (NBI) for Nebraska contains information including geographic location, condition ratings for the superstructure and substructure, load ratings, bridge dimensions, average daily truck traffic, and sufficiency rating.""","""Concrete, Culvert (includes frame culverts)""",Bureau of Reclamation,01/01/2017,03/31/2020,40.394,-97.912,"""Robin Gandhi, Chungwook Sim""",Akshay Kale
