STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING
54,00000000001A001,1,4,1,00100,0,07,001,0,'LITTLE COVE RUN         ',,'COUNTY ROUTE 1    ','0.77 MI N OF CO RT 92/1  ',99.99,5.422,0,,,39170600,079540600,0,3,01,01,09,1913,1,0,160,2006,0,4.9,0,30,0,1,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,4.1,7,7.6,0.1,0.1,4.2,4.8,99.99,N,0,N,99.9,0,N,7,7,6,N,5,32.4,5,14.4,4,2,N,5,8,6,31,1,13.7,1009,24,N00,N00,N00,,,,134,133,374,2009,,,,0,N,3,,0,0,0,N,N,N,N,4,0,,Y,8,195,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,52.2
54,00000000001A002,1,4,1,00100,0,07,001,0,'LITTLE COVE RUN         ',,'COUNTY ROUTE 1    ','1.04 N OF CO 92/1 SLS    ',99.99,5.857,0,,,39171800,079541200,0,3,01,01,09,1913,1,0,160,2006,0,4.9,0,38,0,1,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,4.2,7,7.9,0.1,0.1,4.2,4.8,99.99,N,0,N,99.9,0,N,8,7,8,N,5,31.5,5,14.4,4,2,N,5,7,8,31,1,14,1209,24,N00,N00,N00,,,,137,136,381,2010,,,,0,N,3,,0,0,0,N,N,N,N,4,0,,Y,8,195,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,52.2
54,00000000001A003,1,4,1,00100,0,07,001,0,'SANDY CREEK             ',,'COUNTY ROUTE 1    ','1.3 MI N CO 92/1         ',99.99,6.275,0,,,39172400,079543600,5,3,01,01,09,1957,1,0,160,2006,5,4.9,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,02,2,02,2,1,3.5,15.5,41.1,0,0,3.5,3.7,99.99,N,0,N,99.9,0,8,5,6,8,N,2,43.2,2,31.5,5,2,N,5,9,4,31,1,41.1,608,24,Y24,N00,N00,0408,,,255,247,605,2008,,,,0,N,3,,0,0,0,8,0,0,0,4,0,,Y,8,195,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,64.7
54,00000000001A005,1,4,1,00300,0,07,001,0,'RACCOON CREEK           ',,'COUNTY ROUTE 3    ','0.03 MI E OF CO 3/2 SLS  ',99.99,1.014,0,,,39132400,079515400,0,3,01,01,09,1959,1,0,310,2006,0,6.1,0,10,0,0,0,0,0,5,0,0,0,A,1,5,3,02,0,00,1,0,4.2,7.6,8.2,0,0,4.3,4.3,99.99,N,0,N,99.9,0,6,7,6,8,N,2,39.6,2,27.9,6,2,N,5,8,8,31,1,14.3,1009,24,N00,N00,N00,,,,140,139,388,2010,,,,0,N,3,,0,0,0,8,6,0,0,4,0,,Y,4,378,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,74.9
54,00000000001A006,1,4,1,00503,0,07,001,0,'BRUSHY FORK             ',,'COUNTY ROUTE 5/3  ','0.01 MI S WV 38          ',99.99,1.416,0,,,39114200,079520600,0,3,01,01,09,1963,1,0,20,2006,0,3.7,0,0,0,1,1,1,1,5,0,0,0,P,1,5,3,02,0,00,1,0,3.6,9.4,10.7,0,0,3.7,3.7,99.99,N,0,N,99.9,0,7,6,7,6,N,2,29.7,2,20.7,6,4,N,5,8,7,31,1,17.1,1009,12,N00,N00,N00,,,,167,165,450,2010,,,,0,N,3,,0,0,0,8,0,0,0,0,0,,Y,4,24,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,70
54,00000000001A007,1,4,1,00700,0,07,001,63292,'SHOOKS RUN              ',,'CO ROUTE 7 SLS    ','0.01 MI W OF US 119 F    ',99.99,18.343,0,,,39090600,080031200,0,3,01,01,09,1912,2,0,850,2006,0,6.1,0,0,0,1,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,7,7.3,8.5,0,0,7,7,99.99,N,0,N,99.9,0,N,6,6,8,N,5,32.4,5,14.4,4,4,N,5,9,6,,,,309,24,N00,N00,N00,,,,,,,,,,,0,N,2,,0,0,0,N,N,N,N,4,0,,Y,8,1037,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,54.2
54,00000000001A008,1,4,1,00900,0,07,001,0,'SUGAR CREEK             ',,'COUNTY ROUTE 9    ','0.24 MI E CO 40          ',99.99,6.082,0,,,39061800,079562400,0,3,01,01,09,1915,1,0,50,2006,0,3.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,01,0,00,1,0,4.4,7.9,8.8,0.2,0.2,4.5,5.1,99.99,N,0,N,99.9,0,7,8,8,7,N,5,31.5,5,14.4,4,6,N,5,5,6,,,,208,24,N00,Y60,N00,,0709,,,,,,,,,0,N,3,,0,0,0,1,8,0,0,0,0,,Y,8,60,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,59.7
54,00000000001A009,1,4,1,00900,0,07,001,0,'GLADE CREEK             ',,'COUNTY ROUTE 9    ','0.03 MI W OF WV 92       ',99.99,9.364,0,,,39070600,079543600,0,3,01,01,09,1913,1,0,170,2006,0,5.5,0,30,0,1,0,0,0,5,0,0,0,A,1,5,1,11,0,00,1,0,4.2,6.7,6.7,0.1,0.1,4.3,4.3,99.99,N,0,N,99.9,0,N,6,8,8,N,5,31.5,5,14.4,4,2,N,5,3,8,31,1,13.1,108,24,N00,N00,N00,,,,146,145,392,2008,,,,0,N,3,,0,0,0,N,N,N,N,4,0,,Y,8,207,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,48.2
54,00000000001A010,1,4,1,00900,0,07,001,0,' TETER CREEK            ',,'COUNTY ROUTE 9    ','0.01 MI W OF CO 9/1      ',99.99,12.743,0,,,39070000,079522400,0,3,01,01,08,1920,2,0,590,2006,0,6.1,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,01,0,00,1,0,5.2,7.6,8.2,0.2,0.2,5.3,6.1,99.99,N,0,N,99.9,0,5,5,6,6,N,5,31.5,5,14.4,4,2,N,5,6,6,31,1,13.7,108,24,N00,N00,N00,,,,166,164,453,2008,,,,0,N,2,,0,0,0,1,6,0,0,4,0,,Y,4,720,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,43.2
54,00000000001A012,1,4,1,01000,0,07,001,0,'TYGART VALLEY RIVER     ',,'COUNTY ROUTE 10SLS','0.01 MI E OF CO 8/4 SLS  ',99.99,15.993,0,,,39130600,079561800,6,3,01,01,07,1912,1,0,130,2006,0,5.5,0,0,0,1,0,0,0,2,0,0,0,P,1,5,1,11,1,11,1,2,4.5,25.6,78,0.1,0.1,4.5,5.7,99.99,N,0,N,99.9,0,N,3,4,9,N,5,27.9,5,10.8,3,2,N,5,9,6,31,1,125.3,309,24,N00,Y60,N00,,0709,,734,602,1699,2009,,,,0,N,3,,0,0,0,N,N,N,N,4,0,,Y,8,187,2026,,N, ,                , ,  , ,    ,       , ,  ,  , ,1,     ,21.6
